Date,station,Pluvio_du_jour,Cumul_du_mois,Cumul_moy_du_mois,Cumul_periode,Cumul_moy_periode,Cumul_mois_precedent,Cumul_periode_precedente
2025-02-25,جــمال,0.0,96.0,32.37730213306981,450.0,271.81180957503705,14.0,207.0
2025-02-25,المهدية,0.0,46.6,30.229538523199466,446.7,262.35800027862183,20.4,258.4
2025-02-25,الشابة,0.0,62.5,24.800724655821707,464.5,242.7767634049705,4.0,251.0
2025-02-25,السواسي,0.0,46.0,19.503061231301754,262.0,168.21134549764363,5.7,155.29999999999998
2025-02-25,الـــجم ,0.0,45.0,26.216666695972293,340.7,203.7698579523943,7.8,174.60000000000002
2025-02-25,صفاقس,0.0,34.0,16.726769161430692,238.79999999999998,161.51199990704663,5.0,63.5
2025-02-25,عقارب,0.0,32.0,14.673999979496005,274.4,139.79814294938728,7.0,50.0
2025-02-25,بير علي بن خليفة,0.0,36.0,16.528923083727175,246.0,134.11581804486974,1.0,33.0
2025-02-25,الغريبة,0.0,25.0,10.62826086645541,208.79999999999998,130.23999647502683,8.5,35.5
2025-02-25,قرقنة,0.0,21.0,15.657863227730116,235.5,155.12985869482503,0.0,95.0
2025-02-25,منزل شاكر,0.0,34.0,18.165848336061103,242.5,148.07820415180555,5.0,63.0
2025-02-25,الحنشة,0.0,51.0,20.082050248706363,333.0,169.06347756676425,8.0,123.0
2025-02-25,قفصة ,0.0,26.0,12.784307774626294,82.5,107.98000004753473,0.0,33.0
2025-02-25,القطار,0.0,26.0,10.652651487877874,114.0,93.90512056614958,0.0,15.0
2025-02-25,السند,0.0,58.0,14.931250029243529,178.0,129.8191026890897,0.0,36.0
2025-02-25,المنلوي,0.0,26.0,10.830434786560744,85.0,74.84218935905717,0.0,21.5
2025-02-25,الرديف ,0.0,37.5,10.366666654124856,112.0,100.09233919046822,0.0,33.0
2025-02-25,سيدي يعيش,0.0,16.0,10.714444448219407,150.0,136.03829885913822,0.0,30.5
2025-02-25,أم العرائس,0.0,68.0,13.156521756040013,145.3,84.64114761357611,0.0,28.0
2025-02-25,توزر ,0.0,61.5,6.957076938060612,102.5,61.19326534110366,1.0,13.2
2025-02-25,تمغزة,0.0,33.0,6.4161290391798955,86.0,69.35296808090499,1.0,20.5
2025-02-25,دقاش,0.0,64.0,6.0209302223005965,105.0,64.04185148417614,0.5,16.5
2025-02-25,نفطة ,0.0,54.0,6.1255319126425904,92.5,60.7544865938288,1.0,11.5
2025-02-25,قبلي ,0.0,15.4,9.29777776317464,81.2,66.33930588338892,2.3,19.7
2025-02-25,الفوار,0.0,19.5,5.9793543412654975,74.3,51.5846971416936,0.0,22.5
2025-02-25,دوز ,0.0,28.5,8.143589716500198,60.199999999999996,60.79846529980023,0.8,23.7
2025-02-25,قابس ,0.0,55.0,15.451538467223827,164.5,155.4450608140838,4.5,66.0
2025-02-25,الحامة,0.0,35.0,12.882499983906747,96.0,105.8998076180856,2.0,38.0
2025-02-25,المطوية ,0.0,57.0,16.157948729013786,207.0,135.42287428832933,4.0,60.5
2025-02-25,مطماطة,0.0,46.0,17.58169229434087,194.5,135.29138785781902,3.0,114.5
2025-02-25,مدنين ,0.0,8.4,16.636734695610954,108.0,116.56355129166525,12.0,154.89999999999998
2025-02-25,بني خداش,0.0,9.8,28.229268198696577,81.2,153.19756092385546,7.9,65.7
2025-02-25,بن قردان ,0.0,7.5,19.887500005012214,131.2,140.51439294808088,13.8,123.6
2025-02-25,جرجيس,0.0,12.7,16.893537440166185,92.8,191.5939490726152,29.4,116.1
2025-02-25,جربة حومة السوق,0.0,18.5,19.249076963846505,146.5,180.93195932127097,7.0,89.9
2025-02-25,تطاوين ,0.0,4.6,13.198942918102032,118.49999999999999,79.40312844798234,14.2,65.0
2025-02-25,غمراسن,0.0,2.5,15.497804859280588,72.4,84.25806601734027,13.5,47.3
2025-02-25,رمادة ,0.0,1.2,8.71247354496357,101.4,52.46102833708435,2.5,22.3
2025-02-24,جندوبة,0.0,21.3,51.6130769076829,246.5,291.09400008767847,56.699999999999996,231.79999999999998
2025-02-24,بوسالم,0.0,49.1,50.99212133544261,232.99999999999997,281.18888922085387,48.2,257.29999999999995
2025-02-24,غار الدماء,0.0,14.6,52.05595246210795,235.6,275.43265288444775,89.0,210.5
2025-02-24,عين دراهم,0.0,154.0,192.68969249661154,1013.0,1099.334000077843,231.0,1064.0
2025-02-24,طبرقة,0.0,60.00000000000001,111.2253845676665,724.3,695.6180008885267,84.6,533.8000000000001
2025-02-24,سد بوهرتمة,0.0,41.3,99.68611130131538,413.0,501.7819627610464,106.4,460.30000000000007
2025-02-24,بــاجة,0.0,49.5,74.66369220285462,401.5,391.87469888065766,55.50000000000001,331.9
2025-02-24,مجاز الباب,0.0,39.0,54.22505039882781,268.0,268.5228984872499,21.5,181.0
2025-02-24,نفزة ,0.0,55.0,119.73605449137843,831.0,687.1081378863581,63.0,515.0
2025-02-24,سد سيدي سالم,0.0,36.3,52.062499972060316,214.20000000000005,277.79547858159947,22.0,169.0
2025-02-24,تبرسق ,0.0,55.0,68.63246167531379,262.5,362.59926506892776,42.0,224.5
2025-02-24,تيبار ,0.0,59.0,64.42523088374963,333.0,354.25914308981925,54.0,292.0
2025-02-24,الكاف ,0.0,59.9,44.866604854147155,369.5,253.69387770200876,38.7,255.10000000000002
2025-02-24,سد ملاق,0.0,42.8,29.023384565069126,257.0,174.1665710583632,67.8,183.89999999999998
2025-02-24,ساقية سيدي يوسف,0.0,23.8,50.3121213564969,306.9,301.71333341383274,81.0,222.2
2025-02-24,قلعة سنان,0.0,41.0,27.798535354992357,164.5,205.22267683228156,19.0,112.0
2025-02-24,القصور,0.0,46.5,35.40000001013279,165.5,220.99400001704691,31.5,158.5
2025-02-24,السرس,0.0,54.0,39.28266376612932,210.0,238.9069766819823,26.5,134.5
2025-02-24,تاجروين,0.0,47.5,34.73488383653552,217.0,222.18567741378473,26.0,117.5
2025-02-24,سليانة,0.0,47.0,39.33042861397778,230.0,241.1380000437796,36.5,151.5
2025-02-24,بوعرادة,0.0,63.0,47.227083358758435,250.0,266.12722374389466,26.0,196.0
2025-02-24,الكريب,0.0,49.0,56.744557851228585,374.0,323.74834180770296,73.0,291.0
2025-02-24,الروحية ,0.0,38.0,22.165116311505784,124.0,164.47338618156613,11.0,67.0
